Variant_Name,Master_Company_Name,Match_Score,Match_Type,Confidence,Status,Sources,Date_Created
360 ONE WAM LIMITED,360 ONE WAM LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
3M INDIA LIMITED,3M INDIA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ACC Limited,ACC Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ADANI POWER LIMITED,ADANI POWER LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
AIA ENGINEERING LIMITED,AIA ENGINEERING LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALEMBIC PHARMACEUTICALS LIMITED,ALEMBIC PHARMACEUTICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALKYL AMINES CHEMICALS LIMITED,ALKYL AMINES CHEMICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALOK INDUSTRIES LIMITED,ALOK INDUSTRIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
APAR Industries Limited,APAR Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ballarpur Industries (BILT),APAR Industries Limited,68,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
APL Apollo Tubes,APL Apollo Tubes,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tayo Rolls,APL Apollo Tubes,46,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
APL Apollo Tubes Limited,APL Apollo Tubes Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ARVIND LIMITED,ARVIND LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Arvind Limited,ARVIND LIMITED,100,EXACT,HIGH,AUTO,SCOPE3,2026-01-14
Mukand Limited,ARVIND LIMITED,79,FUZZY,LOW,REVIEW_NEEDED,ALL_SOURCES,2026-01-14
AU Small Finance Bank Limited,AU Small Finance Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Alliance Air,AU Small Finance Bank Limited,54,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
AUROBINDO PHARMA LIMITED,AUROBINDO PHARMA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aarti Industries Limited,Aarti Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aavas Financiers Limited,Aavas Financiers Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
"Adani Airports (Mumbai, Ahmedabad, 6 others)","Adani Airports (Mumbai, Ahmedabad, 6 others)",100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Energy Solutions Limited,Adani Energy Solutions Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Enterprises Limited,Adani Enterprises Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Ports and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Total Gas Limited,Adani Total Gas Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aditya Birla Capital Limited,Aditya Birla Capital Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
"Aditya Birla Fashion (Allen Solly, Peter England)",Aditya Birla Capital Limited,55,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aegis Logistics Limited,Aegis Logistics Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aether Industries Limited,Aether Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ajanta Pharma Limited,Ajanta Pharma Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Akzo Nobel India Limited,Akzo Nobel India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Alkem Laboratories Limited,Alkem Laboratories Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Amara Raja Energy  Mobility Limited,Amara Raja Energy  Mobility Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Amara Raja Energy & Mobility Limited,Amara Raja Energy  Mobility Limited,99,FUZZY,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
Amber Enterprises India Limited,Amber Enterprises India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ambuja Cements Limited,Ambuja Cements Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Mukand,Ambuja Cements Limited,36,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Anand Rathi Wealth Limited,Anand Rathi Wealth Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Anant Raj Limited,Anant Raj Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Andhra Pradesh Paper Mills,Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),62,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Anupam Rasayan India Limited,Anupam Rasayan India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Apollo Tyres Limited,Apollo Tyres Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aptus Value Housing Finance India Limited,Aptus Value Housing Finance India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Asahi India Glass Limited,Asahi India Glass Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ashok Leyland Limited,Ashok Leyland Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Asian Paints Limited,Asian Paints Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Kansai Nerolac Paints Limited,Asian Paints Limited,69,FUZZY,VERY_LOW,MANUAL_REVIEW,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Aster DM Healthcare Limited,Aster DM Healthcare Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
AstraZeneca Pharma India Limited,AstraZeneca Pharma India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Astral Limited,Astral Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Atul Limited,Atul Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Amul (GCMMF),Atul Limited,42,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Avenue Supermarts Limited,Avenue Supermarts Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Axis Bank Limited,Axis Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BAJAJ ELECTRICALS LIMITED,BAJAJ ELECTRICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BANK OF INDIA,BANK OF INDIA,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Central Bank of India,BANK OF INDIA,76,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Bank of Baroda,BANK OF INDIA,67,FUZZY,VERY_LOW,MANUAL_REVIEW,BRSR_REVENUE|SCOPE3,2026-01-14
Air India,BANK OF INDIA,64,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Air Asia India,BANK OF INDIA,59,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Bombay Dyeing,BANK OF INDIA,38,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BASF India Limited,BASF India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Havells India Limited,BASF India Limited,82,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
BATA INDIA LIMITED,BATA INDIA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BEML Limited,BEML Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BHARAT ELECTRONICS LIMITED,BHARAT ELECTRONICS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BHARAT HEAVY ELECTRICALS LIMITED,BHARAT HEAVY ELECTRICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
BLS International Services Limited,BLS International Services Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bajaj Auto Limited,Bajaj Auto Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bajaj Finance Limited,Bajaj Finance Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bajaj Finserv Limited,Bajaj Finserv Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bajaj Holdings  Investment Limited,Bajaj Holdings  Investment Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bajaj Holdings & Investment Limited,Bajaj Holdings  Investment Limited,99,FUZZY,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
Balkrishna Industries Limited,Balkrishna Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Balrampur Chini Mills Limited,Balrampur Chini Mills Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Siyaram Silk Mills,Balrampur Chini Mills Limited,51,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Bandhan Bank Limited,Bandhan Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bangalore International Airport Ltd (BIAL),Bangalore International Airport Ltd (BIAL),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Delhi International Airport Ltd (DIAL),Bangalore International Airport Ltd (BIAL),82,FUZZY,LOW,REVIEW_NEEDED,SCOPE3,2026-01-14
Bharat Dynamics Limited,Bharat Dynamics Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bharat Forge Limited,Bharat Forge Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bharat Heavy Electricals Limited (BHEL),Bharat Heavy Electricals Limited (BHEL),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bharti Airtel Limited,Bharti Airtel Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bharti Hexacom Limited,Bharti Hexacom Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bikaji Foods,Bikaji Foods,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bikaji Foods International Limited,Bikaji Foods International Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Biocon Limited,Biocon Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Birla Corporation Limited,Birla Corporation Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Birla Corporation,Birla Corporation Limited,99,NORMALIZED,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
Birlasoft Limited,Birlasoft Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Blue Dart Express Limited,Blue Dart Express Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Blue Star Limited,Blue Star Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bosch limited,Bosch limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Brigade Enterprises Limited,Brigade Enterprises Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Britannia Industries Limited,Britannia Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Britannia Industries,Britannia Industries Limited,99,NORMALIZED,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
CCL Products (India) Limited,CCL Products (India) Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CCL Products India Limited,CCL Products India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Parle Products,CCL Products India Limited,50,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
CE INFO SYSTEMS LIMITED,CE INFO SYSTEMS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
C.E. INFO SYSTEMS LIMITED,CE INFO SYSTEMS LIMITED,96,FUZZY,HIGH,AUTO,SCOPE3,2026-01-14
CEAT Limited,CEAT Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CERA Sanitaryware Limited,CERA Sanitaryware Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CESC Limited,CESC Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CG Power and Industrial Solutions Limited,CG Power and Industrial Solutions Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CHENNAI PETROLEUM CORPORATION LIMITED,CHENNAI PETROLEUM CORPORATION LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
COAL INDIA LIMITED,COAL INDIA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Coal India Limited,COAL INDIA LIMITED,100,EXACT,HIGH,AUTO,SCOPE3,2026-01-14
Castrol India Limited,COAL INDIA LIMITED,87,FUZZY,MEDIUM,AUTO,BRSR_REVENUE|ALL_SOURCES|SCOPE3,2026-01-14
Coca-Cola India,COAL INDIA LIMITED,61,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Haldiram,COAL INDIA LIMITED,46,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL INTERNATIONAL LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Campus Activewear Limited,Campus Activewear Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Can Fin Homes Limited,Can Fin Homes Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Canara Bank,Canara Bank,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
UCO BANK,Canara Bank,63,FUZZY,VERY_LOW,MANUAL_REVIEW,BRSR_REVENUE|ALL_SOURCES|SCOPE3,2026-01-14
Akasa Air,Canara Bank,50,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Caplin Point Laboratories Limited,Caplin Point Laboratories Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Capri Global Capital Limited,Capri Global Capital Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Carborundum Universal Limited,Carborundum Universal Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cello World Limited,Cello World Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Westlife Foodworld Limited,Cello World Limited,71,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Century Plyboards India Limited,Century Plyboards India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Century Plyboards (India) Limited,Century Plyboards India Limited,97,FUZZY,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
Century Pulp and Paper,Century Plyboards India Limited,57,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Century Pulp and Paper (Century Textiles),Century Plyboards India Limited,44,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES,2026-01-14
Chalet Hotels Limited,Chalet Hotels Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Chemplast Sanmar Limited,Chemplast Sanmar Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cholamandalam Financial Holdings Limited,Cholamandalam Financial Holdings Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cholamandalam Investment and Finance Company Limited,Cholamandalam Investment and Finance Company Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cipla Limited,Cipla Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Crisil Limited,Cipla Limited,81,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Clean Science and Technology Limited,Clean Science and Technology Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cochin International Airport (CIAL),Cochin International Airport (CIAL),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cochin International Airport,Cochin International Airport (CIAL),89,FUZZY,MEDIUM,AUTO,SCOPE3,2026-01-14
Cochin Shipyard Limited,Cochin Shipyard Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Coforge Limited,Coforge Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Computer Age Management Services Limited,Computer Age Management Services Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Concord Biotech Limited,Concord Biotech Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Container Corporation of India Limited,Container Corporation of India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cement Corporation of India,Container Corporation of India Limited,74,FUZZY,LOW,REVIEW_NEEDED,SCOPE3,2026-01-14
Craftsman Automation Limited,Craftsman Automation Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
CreditAccess Grameen Limited,CreditAccess Grameen Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Crompton Greaves Consumer Electricals Limited,Crompton Greaves Consumer Electricals Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cummins India Limited,Cummins India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Cyient Limited,Cyient Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
DCM Shriram Limited,DCM Shriram Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
DIVI'S LABORATORIES LIMITED,DIVI'S LABORATORIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
DIVIS LABORATORIES LIMITED,DIVIS LABORATORIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
DLF Limited,DLF Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
DOMS Industries Limited,DOMS Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Dabur India Limited,Dabur India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Dabur India,Dabur India Limited,99,NORMALIZED,HIGH,AUTO,SCOPE3,2026-01-14
Dalmia Bharat Limited,Dalmia Bharat Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Damodar Valley Corporation (DVC),Damodar Valley Corporation (DVC),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Damodar Valley Corporation,Damodar Valley Corporation (DVC),90,FUZZY,MEDIUM,AUTO,SCOPE3,2026-01-14
Data Patterns India Limited,Data Patterns India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Data Patterns (India) Limited,Data Patterns India Limited,96,FUZZY,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
