Company_Name,Tier1_Core_Count,Tier1_Total_Points,Total_Indicators,Tier1_Coverage_Pct
ALEMBIC PHARMACEUTICALS LIMITED,11,14,14,100.0
Adani Energy Solutions Limited,10,14,14,90.9090909090909
Coforge Limited,9,10,10,81.81818181818183
Jindal Stainless Limited,9,12,12,81.81818181818183
Star Cement Limited,8,11,11,72.72727272727273
Oberoi Realty Limited,8,11,11,72.72727272727273
POLY MEDICURE LIMITED,8,9,9,72.72727272727273
Piramal Enterprises Limited,8,9,9,72.72727272727273
RBL Bank Limited,8,11,11,72.72727272727273
Dalmia Bharat Limited,8,11,12,72.72727272727273
Tech Mahindra Limited,8,9,9,72.72727272727273
hindalco-TNFD-2024-report,7,9,9,63.63636363636363
JSW Steel Limited,7,11,12,63.63636363636363
Tech,7,9,9,63.63636363636363
Tata,7,10,10,63.63636363636363
JSL-TNFD-Report-FY-2024-25,6,9,9,54.54545454545454
Hindustan,6,7,7,54.54545454545454
Tejas Networks Limited,6,9,9,54.54545454545454
UNITED BREWERIES LIMITED,6,7,8,54.54545454545454
Tata Elxsi Limited,6,8,8,54.54545454545454
CESC Limited,6,9,10,54.54545454545454
Welspun Corp Limited,6,9,9,54.54545454545454
Vedanta,5,6,6,45.45454545454545
Ramkrishna Forgings Limited,5,6,6,45.45454545454545
Piramal Pharma Limited,5,6,6,45.45454545454545
Tata Motors Limited,5,6,7,45.45454545454545
IDFC FIRST Bank Limited,4,5,5,36.36363636363637
IndiaMART InterMESH Limited,4,4,4,36.36363636363637
Latent View Analytics Limited,4,5,5,36.36363636363637
Sagar Cements,4,5,5,36.36363636363637
GAIL (India) Limited,4,5,6,36.36363636363637
Larsen & Toubro Limited,3,3,8,27.27272727272727
MANKIND PHARMA LIMITED,3,4,5,27.27272727272727
Siemens Limited,3,4,4,27.27272727272727
itc-nature-report,3,5,5,27.27272727272727
GVK Mumbai Airport,2,2,7,18.181818181818183
ARVIND LIMITED,2,3,7,18.181818181818183
COAL INDIA LIMITED,2,4,5,18.181818181818183
TATA COMMUNICATIONS LIMITED,2,3,4,18.181818181818183
Punjab & Sind Bank,2,2,4,18.181818181818183
Sobha Limited,1,1,2,9.090909090909092
RITES Limited,1,2,3,9.090909090909092
Vedanta-Aluminium-TNFD-2025,1,2,2,9.090909090909092
SARDA ENERGY & MINERALS LIMITED,0,0,5,0.0
Safari Industries (India) Limited,0,0,2,0.0
Bangalore International Airport Ltd (BIAL),0,0,6,0.0
Sanghi Industries,0,0,4,0.0
Raymond Limited,0,0,2,0.0
Sanofi India Limited,0,0,6,0.0
Schaeffler India Limited,0,0,5,0.0
Seshasayee Paper and Boards Limited,0,0,5,0.0
Bajaj Holdings & Investment Limited,0,0,2,0.0
Siyaram Silk Mills,0,0,2,0.0
Route Mobile Limited,0,1,2,0.0
Data Patterns (India) Limited,0,0,2,0.0
Ratnamani Metals & Tubes Limited,0,0,4,0.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,0,0,4,0.0
SpiceJet,0,0,2,0.0
Bhushan Steel (Tata Steel BSL),0,0,2,0.0
R R Kabel Limited,0,1,2,0.0
Procter & Gamble Health Limited,0,0,3,0.0
Prism Johnson Limited,0,1,2,0.0
Prism Johnson (Cement),0,0,5,0.0
Bikaji Foods,0,0,7,0.0
Birla Corporation,0,1,2,0.0
Pfizer Limited,0,1,2,0.0
Birla Corporation Limited,0,1,2,0.0
Bharat Heavy Electricals Limited (BHEL),0,0,6,0.0
Sunflag Iron and Steel,0,0,5,0.0
Atul Limited,0,1,2,0.0
Odisha Mining Corporation,0,0,2,0.0
Zydus Lifesciences Limited,0,1,2,0.0
Wockhardt Limited,0,1,2,0.0
West Coast Paper Mills Limited,0,0,6,0.0
West Coast Paper Mills,0,0,7,0.0
Welspun Living Limited (formerly Welspun India),0,0,5,0.0
Welspun Living Limited,0,0,5,0.0
"Adani Airports (Mumbai, Ahmedabad, 6 others)",0,0,4,0.0
Vistara (TATA SIA Airlines),0,0,2,0.0
Air India,0,0,3,0.0
Vedant Fashions Limited,0,1,2,0.0
Varun Beverages (PepsiCo franchise),0,0,6,0.0
Vardhman Textiles,0,0,7,0.0
Usha Martin Limited,0,1,5,0.0
Usha Martin,0,1,2,0.0
Airports Authority of India (AAI),0,0,2,0.0
UCO BANK,0,0,3,0.0
Trident Limited,0,0,7,0.0
Akasa Air,0,0,3,0.0
Techno Electric & Engineering Company Limited,0,0,4,0.0
Amara Raja Energy & Mobility Limited,0,0,3,0.0
Amul (GCMMF),0,0,3,0.0
Tata Power,0,0,5,0.0
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),0,0,5,0.0
Angel One Limited,0,0,3,0.0
Archean Chemical Industries Limited,0,0,3,0.0
PB FINTECH LIMITED,0,1,2,0.0
Nuvoco Vistas Corp (Nirma Cement),0,0,2,0.0
Britannia Industries,0,0,4,0.0
Dixon Technologies (India) Limited,0,0,3,0.0
Ion Exchange (India) Limited,0,0,3,0.0
Inox Wind Limited,0,2,3,0.0
Infibeam Avenues Limited,0,1,2,0.0
Indus Towers Limited,0,1,2,0.0
Cochin International Airport (CIAL),0,0,5,0.0
IndiGo (InterGlobe Aviation),0,0,6,0.0
ITC Limited (Paperboards Division),0,0,5,0.0
IIFL Finance Limited,0,1,2,0.0
Cochin Shipyard Limited,0,1,2,0.0
Hindustan Coca-Cola Beverages (Coca-Cola India),0,0,3,0.0
DIVI'S LABORATORIES LIMITED,0,0,6,0.0
Himadri Speciality Chemical Limited,0,0,8,0.0
Heritage Foods,0,0,5,0.0
Hatsun Agro Products,0,0,3,0.0
Haldiram Snacks Food Private Limited,0,0,6,0.0
HFCL Limited,0,1,2,0.0
Gujarat State Electricity Corporation,0,0,2,0.0
Garden Reach Shipbuilders & Engineers Limited,0,0,4,0.0
"GMR Airports (Delhi, Hyderabad)",0,0,6,0.0
Damodar Valley Corporation (DVC),0,0,3,0.0
Eureka Forbes Limited,0,1,2,0.0
Essar Steel India (AM/NS India),0,0,4,0.0
Engineers India Limited,0,1,2,0.0
Emami Paper Mills Limited,0,0,6,0.0
Electrosteel Steels (ESL Steel Limited),0,0,2,0.0
Electrosteel Castings,0,0,7,0.0
Dr. Reddy's Laboratories Limited,0,0,3,0.0
JK Lakshmi Cement,0,0,3,0.0
JK Paper,0,0,7,0.0
JK Tyre & Industries Limited,0,0,6,0.0
Castrol India Limited,0,0,4,0.0
Nestle India Limited,0,0,5,0.0
Nestle India,0,0,5,0.0
Narayana Hrudayalaya Ltd.,0,0,5,0.0
Mukand Limited,0,0,3,0.0
Mrs. Bectors Food Specialities,0,0,4,0.0
Mother Dairy,0,0,5,0.0
Monnet Ispat (JSW Ispat Special Products Limited),0,0,1,0.0
Minda Corporation Limited,0,0,6,0.0
Mangalam Cement,0,0,6,0.0
Mahindra Holidays & Resorts India Limited,0,0,5,0.0
Mahindra & Mahindra Limited,0,0,4,0.0
CCL Products (India) Limited,0,0,6,0.0
LTIMindtree Limited,0,0,7,0.0
Chalet Hotels Limited,0,1,2,0.0
LT Technology Services Limited,0,0,6,0.0
APL Apollo Tubes,0,0,4,0.0
Kesoram Industries (Cement Division),0,0,2,0.0
Kalyani Steels,0,0,5,0.0
Kajaria Ceramics Limited,0,1,2,0.0
KPR Mill Limited,0,0,4,0.0
KIOCL (Kudremukh Iron Ore Company),0,0,4,0.0
K.P.R. MILL LIMITED,0,0,5,0.0
Century Plyboards (India) Limited,0,0,2,0.0
Jindal Saw Limited,0,0,5,0.0
Century Pulp and Paper (Century Textiles),0,0,1,0.0
JSW Energy,0,0,7,0.0
L&T Finance Limited,0,1,8,0.0
